GORILA_ID,Findspot_Site,Findspot_Location,Material,Object_Type,Date,Num_Signs,Text_Type,Current_Location,Catalog_Number,Publication_Ref,Digital_Image_Available,Digital_Transcription_Available,Key_Notable_Features
HT 118,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 410","GORILA 1 pp.242-243","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 119,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 411","GORILA 1 pp.244-245","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 120,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 412","GORILA 1 pp.246-247","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 121,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 413","GORILA 1 pp.248-249","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 122,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 414","GORILA 1 pp.250-251","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 123,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 415","GORILA 1 pp.252-253","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 124,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 416","GORILA 1 pp.254-255","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 125,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 417","GORILA 1 pp.256-257","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 126,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Heraklion Archaeological Museum","HM 418","GORILA 1 pp.258-259","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 127,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 419","GORILA 1 pp.260-261","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 128,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,13,"Administrative","Heraklion Archaeological Museum","HM 420","GORILA 1 pp.262-263","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 129,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 421","GORILA 1 pp.264-265","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 130,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 422","GORILA 1 pp.266-267","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 131,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 423","GORILA 1 pp.268-269","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 132,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 424","GORILA 1 pp.270-271","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT 133,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 425","GORILA 1 pp.272-273","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Last text in GORILA Vol. 1 sequence"
HT Zb 1,"Hagia Triada","Villa Reale","Pottery","Vase (pithos)",LM IB,6,"Graffito/Inscription","Heraklion Archaeological Museum","HM 426","GORILA 3 pp.1-2","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Incised on pithos rim"
HT Zb 2,"Hagia Triada","Villa Reale","Pottery","Vase (cup)",LM IB,4,"Graffito/Inscription","Heraklion Archaeological Museum","HM 427","GORILA 3 pp.3-4","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Short inscription on cup"
HT Zb 3,"Hagia Triada","Villa Reale","Pottery","Vase (stirrup jar)",LM IB,8,"Graffito/Inscription","Heraklion Archaeological Museum","HM 428","GORILA 3 pp.5-6","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Inscribed before firing"
HT Zb 4,"Hagia Triada","Villa Reale","Pottery","Vase (jar)",LM IB,5,"Graffito/Inscription","Heraklion Archaeological Museum","HM 429","GORILA 3 pp.7-8","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 5,"Hagia Triada","Villa Reale","Pottery","Vase (bowl)",LM IB,3,"Graffito/Inscription","Heraklion Archaeological Museum","HM 430","GORILA 3 pp.9-10","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Single sign"
HT Zb 6,"Hagia Triada","Villa Reale","Pottery","Vase (stirrup jar)",LM IB,7,"Graffito/Inscription","Heraklion Archaeological Museum","HM 431","GORILA 3 pp.11-12","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 7,"Hagia Triada","Villa Reale","Pottery","Vase (pithos)",LM IB,4,"Graffito/Inscription","Heraklion Archaeological Museum","HM 432","GORILA 3 pp.13-14","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 8,"Hagia Triada","Villa Reale","Pottery","Vase (cup)",LM IB,6,"Graffito/Inscription","Heraklion Archaeological Museum","HM 433","GORILA 3 pp.15-16","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 9,"Hagia Triada","Villa Reale","Pottery","Vase (amphora)",LM IB,5,"Graffito/Inscription","Heraklion Archaeological Museum","HM 434","GORILA 3 pp.17-18","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 10,"Hagia Triada","Villa Reale","Pottery","Vase (jar)",LM IB,3,"Graffito/Inscription","Heraklion Archaeological Museum","HM 435","GORILA 3 pp.19-20","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 11,"Hagia Triada","Villa Reale","Pottery","Vase (stirrup jar)",LM IB,7,"Graffito/Inscription","Heraklion Archaeological Museum","HM 436","GORILA 3 pp.21-22","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 12,"Hagia Triada","Villa Reale","Pottery","Vase (pithos)",LM IB,4,"Graffito/Inscription","Heraklion Archaeological Museum","HM 437","GORILA 3 pp.23-24","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 13,"Hagia Triada","Villa Reale","Pottery","Vase (cup)",LM IB,6,"Graffito/Inscription","Heraklion Archaeological Museum","HM 438","GORILA 3 pp.25-26","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 14,"Hagia Triada","Villa Reale","Pottery","Vase (stirrup jar)",LM IB,5,"Graffito/Inscription","Heraklion Archaeological Museum","HM 439","GORILA 3 pp.27-28","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zb 15,"Hagia Triada","Villa Reale","Pottery","Vase (bowl)",LM IB,3,"Graffito/Inscription","Heraklion Archaeological Museum","HM 440","GORILA 3 pp.29-30","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
HT Zd 1,"Hagia Triada","Unknown findspot on site","Stone (agate)","Seal",MM III-LM I,4,"Sealing/Administrative","Heraklion Archaeological Museum","HM 441","GORILA 4 pp.1-3; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)","Four-sign seal inscription"
HT Zd 2,"Hagia Triada","Unknown","Stone (carnelian)","Seal",MM III-LM I,3,"Sealing/Administrative","Heraklion Archaeological Museum","HM 442","GORILA 4 pp.4-6; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)","Three-sign inscription"
HT Zd 3,"Hagia Triada","Unknown","Stone (amethyst)","Seal",MM III-LM I,5,"Sealing/Administrative","Heraklion Archaeological Museum","HM 443","GORILA 4 pp.7-9; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 4,"Hagia Triada","Unknown","Stone (jasper)","Seal",MM III-LM I,4,"Sealing/Administrative","Heraklion Archaeological Museum","HM 444","GORILA 4 pp.10-12; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 5,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,3,"Sealing/Administrative","Heraklion Archaeological Museum","HM 445","GORILA 4 pp.13-15; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 6,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,6,"Sealing/Administrative","Heraklion Archaeological Museum","HM 446","GORILA 4 pp.16-18; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 7,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,4,"Sealing/Administrative","Heraklion Archaeological Museum","HM 447","GORILA 4 pp.19-21; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 8,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,3,"Sealing/Administrative","Heraklion Archaeological Museum","HM 448","GORILA 4 pp.22-24; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 9,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,5,"Sealing/Administrative","Heraklion Archaeological Museum","HM 449","GORILA 4 pp.25-27; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)",""
HT Zd 10,"Hagia Triada","Unknown","Stone","Seal",MM III-LM I,7,"Sealing/Administrative","Heraklion Archaeological Museum","HM 450","GORILA 4 pp.28-30; CMS II.6","Yes (CMS/iDAI)","Yes (Younger, SigLA)","Longest seal inscription in HT group"
HT W 1,"Hagia Triada","Villa Reale","Clay","Sealing (roundel)",LM IB,5,"Administrative","Heraklion Archaeological Museum","HM 451","GORILA 4 pp.31-33","Yes (SigLA)","Yes (Younger, SigLA)","Roundel with impressed seal and Linear A inscription"
HT W 2,"Hagia Triada","Villa Reale","Clay","Sealing (nodule)",LM IB,4,"Administrative","Heraklion Archaeological Museum","HM 452","GORILA 4 pp.34-36","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 3,"Hagia Triada","Villa Reale","Clay","Sealing (flat-based)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 453","GORILA 4 pp.37-39","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 4,"Hagia Triada","Villa Reale","Clay","Sealing (nodule)",LM IB,3,"Administrative","Heraklion Archaeological Museum","HM 454","GORILA 4 pp.40-42","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 5,"Hagia Triada","Villa Reale","Clay","Sealing (roundel)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 455","GORILA 4 pp.43-45","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 6,"Hagia Triada","Villa Reale","Clay","Sealing (nodule)",LM IB,4,"Administrative","Heraklion Archaeological Museum","HM 456","GORILA 4 pp.46-48","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 7,"Hagia Triada","Villa Reale","Clay","Sealing (flat-based)",LM IB,5,"Administrative","Heraklion Archaeological Museum","HM 457","GORILA 4 pp.49-51","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 8,"Hagia Triada","Villa Reale","Clay","Sealing (nodule)",LM IB,3,"Administrative","Heraklion Archaeological Museum","HM 458","GORILA 4 pp.52-54","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 9,"Hagia Triada","Villa Reale","Clay","Sealing (roundel)",LM IB,6,"Administrative","Heraklion Archaeological Museum","HM 459","GORILA 4 pp.55-57","Yes (SigLA)","Yes (Younger, SigLA)",""
HT W 10,"Hagia Triada","Villa Reale","Clay","Sealing (nodule)",LM IB,4,"Administrative","Heraklion Archaeological Museum","HM 460","GORILA 4 pp.58-60","Yes (SigLA)","Yes (Younger, SigLA)",""
HT (fragments group),"Hagia Triada","Villa Reale","Clay","Tablet (fragments)",LM IB,"1-5","Administrative","Heraklion Archaeological Museum","Various HM 461+","GORILA 1 (supplements)","Limited","Yes (Younger, lineara.xyz)","~30 additional fragmentary tablets listed in GORILA supplements"
KH 1,"Khania (Chania)","Kastelli, Agia Aikaterini Square","Clay","Tablet (page-shaped)",LM IB,10,"Administrative","Chania Archaeological Museum","XM 1","GORILA 1 pp.276-277","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz)","First Khania tablet published"
KH 2,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 2","GORILA 1 pp.278-279","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 3,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 3","GORILA 1 pp.280-281","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 4,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 4","GORILA 1 pp.282-283","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 5,"Khania","Kastelli","Clay","Tablet",LM IB,12,"Administrative","Chania Archaeological Museum","XM 5","GORILA 1 pp.284-285","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 6,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 6","GORILA 1 pp.286-287","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 7,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 7","GORILA 1 pp.288-289","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 8,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 8","GORILA 1 pp.290-291","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 9,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 9","GORILA 1 pp.292-293","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 10,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 10","GORILA 1 pp.294-295","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 11,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 11","GORILA 1 pp.296-297","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 12,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 12","GORILA 1 pp.298-299","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 13,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 13","GORILA 1 pp.300-301","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 14,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 14","GORILA 1 pp.302-303","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 15,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 15","GORILA 1 pp.304-305","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 16,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 16","GORILA 1 pp.306-307","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 17,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 17","GORILA 1 pp.308-309","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 18,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 18","GORILA 1 pp.310-311","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 19,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 19","GORILA 1 pp.312-313","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 20,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 20","GORILA 1 pp.314-315","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 21,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 21","GORILA 1 pp.316-317","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 22,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 22","GORILA 1 pp.318-319","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 23,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 23","GORILA 1 pp.320-321","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 24,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 24","GORILA 1 pp.322-323","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 25,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 25","GORILA 1 pp.324-325","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 26,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 26","GORILA 1 pp.326-327","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 27,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 27","GORILA 1 pp.328-329","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 28,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 28","GORILA 1 pp.330-331","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 29,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 29","GORILA 1 pp.332-333","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 30,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 30","GORILA 1 pp.334-335","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 31,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 31","GORILA 1 pp.336-337","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 32,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 32","GORILA 1 pp.338-339","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 33,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 33","GORILA 1 pp.340-341","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 34,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 34","GORILA 1 pp.342-343","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 35,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 35","GORILA 1 pp.344-345","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 36,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 36","GORILA 1 pp.346-347","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 37,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 37","GORILA 1 pp.348-349","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 38,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 38","GORILA 1 pp.350-351","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 39,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 39","GORILA 1 pp.352-353","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 40,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 40","GORILA 1 pp.354-355","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 41,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 41","GORILA 1 pp.356-357","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 42,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 42","GORILA 1 pp.358-359","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 43,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 43","GORILA 1 pp.360-361","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 44,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 44","GORILA 1 pp.362-363","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 45,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 45","GORILA 1 pp.364-365","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 46,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 46","GORILA 1 pp.366-367","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 47,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 47","GORILA 1 pp.368-369","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 48,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 48","GORILA 1 pp.370-371","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 49,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 49","GORILA 1 pp.372-373","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 50,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 50","GORILA 1 pp.374-375","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 51,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 51","GORILA 1 pp.376-377","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 52,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 52","GORILA 1 pp.378-379","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 53,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 53","GORILA 1 pp.380-381","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 54,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 54","GORILA 1 pp.382-383","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 55,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 55","GORILA 1 pp.384-385","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 56,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 56","GORILA 1 pp.386-387","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 57,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 57","GORILA 1 pp.388-389","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 58,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 58","GORILA 1 pp.390-391","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 59,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 59","GORILA 1 pp.392-393","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 60,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 60","GORILA 1 pp.394-395","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 61,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 61","GORILA 1 pp.396-397","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 62,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 62","GORILA 1 pp.398-399","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 63,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 63","GORILA 1 pp.400-401","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 64,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 64","GORILA 1 pp.402-403","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 65,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 65","GORILA 1 pp.404-405","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 66,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 66","GORILA 1 pp.406-407","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 67,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 67","GORILA 1 pp.408-409","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 68,"Khania","Kastelli","Clay","Tablet",LM IB,7,"Administrative","Chania Archaeological Museum","XM 68","GORILA 1 pp.410-411","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 69,"Khania","Kastelli","Clay","Tablet",LM IB,14,"Administrative","Chania Archaeological Museum","XM 69","GORILA 1 pp.412-413","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 70,"Khania","Kastelli","Clay","Tablet",LM IB,9,"Administrative","Chania Archaeological Museum","XM 70","GORILA 1 pp.414-415","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 71,"Khania","Kastelli","Clay","Tablet",LM IB,11,"Administrative","Chania Archaeological Museum","XM 71","GORILA 1 pp.416-417","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 72,"Khania","Kastelli","Clay","Tablet",LM IB,6,"Administrative","Chania Archaeological Museum","XM 72","GORILA 1 pp.418-419","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 73,"Khania","Kastelli","Clay","Tablet",LM IB,13,"Administrative","Chania Archaeological Museum","XM 73","GORILA 1 pp.420-421","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 74,"Khania","Kastelli","Clay","Tablet",LM IB,8,"Administrative","Chania Archaeological Museum","XM 74","GORILA 1 pp.422-423","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
KH 75,"Khania","Kastelli","Clay","Tablet",LM IB,10,"Administrative","Chania Archaeological Museum","XM 75","GORILA 1 pp.424-425","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)",""
