bennett_id,la_unicode,la_char,lb_unicode,lb_char,lb_value,la_hyp_value,visual_sim,attestation,sign_type,visual_score,positional_score,frequency_score,toponym_score,ngram_score,composite_score,notes
A 347,U+106B8,𐚸,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 348,U+106B9,𐚹,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 349,U+106BA,𐚺,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 350,U+106BB,𐚻,—,—,[?],[?],0.5,both,logogram,50.0,50.0,50.0,30.0,50.0,45.0,Possibly shared.
A 351,U+106BC,𐚼,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 352,U+106BD,𐚽,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 353,U+106BE,𐚾,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 354,U+106BF,𐚿,—,—,[?],[?],0.5,la_only,logogram,5.0,50.0,50.0,30.0,50.0,29.2,LA-only.
A 355,U+106C0,𐛀,—,—,[?],[?],0.5,both,logogram,50.0,50.0,50.0,30.0,50.0,45.0,Possibly shared.
A 356,U+106C1,𐛁,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 357,U+106C2,𐛂,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 358,U+106C3,𐛃,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 359,U+106C4,𐛄,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 360,U+106C5,𐛅,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 361,U+106C6,𐛆,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 362,U+106C7,𐛇,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 363,U+106C8,𐛈,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 364,U+106C9,𐛉,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 365,U+106CA,𐛊,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 366,U+106CB,𐛋,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 367,U+106CC,𐛌,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 368,U+106CD,𐛍,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 369,U+106CE,𐛎,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 370,U+106CF,𐛏,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 371,U+106D0,𐛐,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 372,U+106D1,𐛑,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 373,U+106D2,𐛒,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 374,U+106D3,𐛓,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 375,U+106D4,𐛔,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 376,U+106D5,𐛕,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 377,U+106D6,𐛖,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 378,U+106D7,𐛗,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 379,U+106D8,𐛘,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 380,U+106D9,𐛙,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 381,U+106DA,𐛚,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 382,U+106DB,𐛛,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 383,U+106DC,𐛜,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 384,U+106DD,𐛝,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 385,U+106DE,𐛞,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 386,U+106DF,𐛟,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 387,U+106E0,𐛠,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 388,U+106E1,𐛡,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 389,U+106E2,𐛢,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 390,U+106E3,𐛣,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 391,U+106E4,𐛤,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 392,U+106E5,𐛥,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 393,U+106E6,𐛦,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 394,U+106E7,𐛧,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 395,U+106E8,𐛨,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 396,U+106E9,𐛩,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 397,U+106EA,𐛪,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 398,U+106EB,𐛫,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 399,U+106EC,𐛬,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 400,U+106ED,𐛭,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 401,U+106EE,𐛮,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 402,U+106EF,𐛯,—,—,—,?,0.0,la_only,logogram,0.0,50.0,50.0,30.0,50.0,27.5,LA-only.
A 701,U+106F0,𐛰,—,—,J (1/2?),1/2,0.8,both,fraction,80.0,50.0,50.0,30.0,50.0,55.5,"Fraction sign, likely 1/2 or similar."
A 702,U+106F1,𐛱,—,—,K (1/4?),1/4,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 703,U+106F2,𐛲,—,—,L (1/3?),1/3,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 704,U+106F3,𐛳,—,—,M (2/3?),2/3,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 705,U+106F4,𐛴,—,—,N (3/4?),3/4,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 706,U+106F5,𐛵,—,—,O (1/6?),1/6,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 707,U+106F6,𐛶,—,—,P (5/6?),5/6,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 708,U+106F7,𐛷,—,—,Q (1/8?),1/8,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 709,U+106F8,𐛸,—,—,R (3/8?),3/8,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 710,U+106F9,𐛹,—,—,S (5/8?),5/8,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 711,U+106FA,𐛺,—,—,T (7/8?),7/8,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 712,U+106FB,𐛻,—,—,U (1/10?),1/10,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 713,U+106FC,𐛼,—,—,V (3/10?),3/10,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 714,U+106FD,𐛽,—,—,W (7/10?),7/10,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 715,U+106FE,𐛾,—,—,X (9/10?),9/10,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 716,U+106FF,𐛿,—,—,Y (1/5?),1/5,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 717,U+10700,𐜀,—,—,Z (2/5?),2/5,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 718,U+10701,𐜁,—,—,AA (4/5?),4/5,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 719,U+10702,𐜂,—,—,BB (1/16?),1/16,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 720,U+10703,𐜃,—,—,CC (3/16?),3/16,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 721,U+10704,𐜄,—,—,DD (5/16?),5/16,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
A 722,U+10705,𐜅,—,—,EE (7/16?),7/16,0.8,both,fraction,80.0,50.0,40.0,30.0,50.0,54.5,Fraction sign.
NUM 1,U+1070E,𐜎,—,—,1,1,1.0,both,numeral,100.0,50.0,50.0,30.0,50.0,62.5,Vertical stroke for unit.
NUM 10,U+1070F,𐜏,—,—,10,10,1.0,both,numeral,100.0,50.0,50.0,30.0,50.0,62.5,Horizontal stroke for ten.
NUM 100,U+10710,𐜐,—,—,100,100,1.0,both,numeral,100.0,50.0,50.0,30.0,50.0,62.5,Circle for hundred.
NUM 1000,U+10711,𐜑,—,—,1000,1000,1.0,both,numeral,100.0,50.0,50.0,30.0,50.0,62.5,Circle with rays for thousand.
NUM 10000,U+10712,𐜒,—,—,10000,10000,1.0,both,numeral,100.0,50.0,40.0,30.0,50.0,61.5,Circle with cross for ten-thousand.
