la_bennett_id,la_unicode,la_character,la_transliteration,la_occurrences,lb_abbr,lb_meaning,lb_unicode,lb_character,lb_sign_name,co_occurring_logograms,correspondence_certainty,notes
A 568,U+10755,𐝕,𐝕𐝉𐝫,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
A 568,U+10755,𐝕,JE,32,,,,,,VASE 7(28); VASE 4(18); VASE 2(6); A 561(6); VASE 6(5),low,No known LB counterpart
VASE 1,U+10740,𐝀,¹⁄₄,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,≈,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,OLE+KI,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,"
",18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,¹⁄₆,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,OLIV,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,E,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,U,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,KI,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,MA,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,*306,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 1,U+10740,𐝀,vase,18,SITVL,situla / bucket-shaped vessel,U+100C0,𐃀,SITVL,A 561(10); VASE 8(8); VASE 7(6); VASE 2(5); VASE 10(5),high,Situla/bucket vessel. LA VASE 1.
VASE 10,U+10749,𐝉,𐝉,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,𐝉𐝋𐝫,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,"
",30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,PA,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,vase,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,KA,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,≈,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,TO,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,𐝫,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,TA,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,GRA,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,𐝉𐝫,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 10,U+10749,𐝉,4,30,CUP,cup / drinking vessel,U+102A8,𐊨,CUP,VASE 8(22); VASE 4(17); VASE 7(11); VASE 2(11); VASE 3(6),high,Cup/goblet. LA VASE 10.
VASE 11,U+1074A,𐝊,"
",2,,,,,,A 374(2),low,No known LB counterpart
VASE 11,U+1074A,𐝊,vase,2,,,,,,A 374(2),low,No known LB counterpart
VASE 12,U+1074B,𐝋,"
",4,PAN,pan / shallow vessel,U+102C0,𐋀,PAN,VASE 4(3); VASE 10(2); VASE 6(1); VASE 3(1); A 509(1),high,Shallow pan or tray. LA VASE 12.
VASE 12,U+1074B,𐝋,𐝫,4,PAN,pan / shallow vessel,U+102C0,𐋀,PAN,VASE 4(3); VASE 10(2); VASE 6(1); VASE 3(1); A 509(1),high,Shallow pan or tray. LA VASE 12.
VASE 13,U+1074C,𐝌,vase,2,,,,,,A 397(3); VASE 2(2); VASE 8(1); VASE 7(1); VASE 4(1),low,No known LB counterpart
VASE 2,U+10741,𐝁,¹⁄₃,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,"
",41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,vase,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,E,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,¹⁄₄,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,*304,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,?,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,𐝫,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,*348,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,3,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,NI,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,DU,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,CYP,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,TA,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 2,U+10741,𐝁,OLIV,41,,,,,,VASE 7(39); VASE 3(25); VASE 4(20); VASE 8(18); VASE 10(11),low,No known LB counterpart
VASE 3,U+10742,𐝂,8,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,RA,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,𐝫,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,vase,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,"
",42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,mina,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,double,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,¹⁄₂,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,OLE+U,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,𐝂𐝂𐝂𐝂,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,KA,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,PO,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,¹⁄₅,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,𐝍𐝫,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,NI,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,4,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,1,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,OLE+KI,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,3,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 3,U+10742,𐝂,2,42,PITHOS,pithos / storage jar,U+102BC,𐊼,PITHOS,VASE 7(47); VASE 2(25); VASE 4(18); A 566(8); VASE 6(7),high,Large storage jar. LA VASE 3.
VASE 4,U+10743,𐝃,¹⁄₄,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,³⁄₈,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,vase,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,¹⁄₅,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,245,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,—,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,"
",77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,5,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,4,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,17,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,3,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,RO,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,E,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,CYP+E,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,NI,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,1,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,MI,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,.3,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,2,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,CYP,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,OLE+U,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,DA,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,VIN,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 4,U+10743,𐝃,SE,77,HYDRIA,hydria / water jar,U+102AA,𐊪,HYDRIA,VASE 7(61); VASE 2(20); VASE 5(18); VASE 3(18); A 568(18),high,Water jar. LA VASE 4 — also used as fraction ¼.
VASE 5,U+10744,𐝄,"
",19,AMPHORA,amphora,U+102A2,𐊢,AMPHORA,VASE 7(20); VASE 4(18); VASE 8(6); VASE 2(5); VASE 6(2),high,Wine/storage amphora. LA VASE 5.
VASE 5,U+10744,𐝄,¹⁄₈,19,AMPHORA,amphora,U+102A2,𐊢,AMPHORA,VASE 7(20); VASE 4(18); VASE 8(6); VASE 2(5); VASE 6(2),high,Wine/storage amphora. LA VASE 5.
VASE 5,U+10744,𐝄,vase,19,AMPHORA,amphora,U+102A2,𐊢,AMPHORA,VASE 7(20); VASE 4(18); VASE 8(6); VASE 2(5); VASE 6(2),high,Wine/storage amphora. LA VASE 5.
VASE 5,U+10744,𐝄,20,19,AMPHORA,amphora,U+102A2,𐊢,AMPHORA,VASE 7(20); VASE 4(18); VASE 8(6); VASE 2(5); VASE 6(2),high,Wine/storage amphora. LA VASE 5.
VASE 5,U+10744,𐝄,𐝫,19,AMPHORA,amphora,U+102A2,𐊢,AMPHORA,VASE 7(20); VASE 4(18); VASE 8(6); VASE 2(5); VASE 6(2),high,Wine/storage amphora. LA VASE 5.
VASE 6,U+10745,𐝅,≈,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,OLE+NE,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,"
",16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,¹⁄₆,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,SE,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,KI,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,2,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 6,U+10745,𐝅,vase,16,KRATER,krater / mixing bowl,U+102C1,𐋁,KRATER,VASE 8(12); VASE 7(9); VASE 3(7); VASE 2(6); A 381(6),high,Mixing bowl. LA VASE 6.
VASE 7,U+10746,𐝆,vase,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,¹⁄₂,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,"
",137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,RI,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,NI,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,RU,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,7,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,𐝓,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,1,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,𐝆𐝇,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,DU,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,𐝫,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,6,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,3,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,KI,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,A,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,𐄁,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,*301,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,*188,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,2,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,DA,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,*308,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,RO,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
VASE 7,U+10746,𐝆,*304,137,VAS,vessel (general),U+102B0,𐊰,VAS,VASE 4(61); VASE 3(47); VASE 2(39); A 568(28); VASE 5(20),high,Generic vessel ideogram. Highly frequent in LA (VASE 7).
